2002,60.5,58.7,21.1,20.5,17.1,170.8,0.65,1.7,16.6
2003,57.0,57.9,13.6,13.9,14.5,144.5,0.58,1.5,14.7
2004,50.2,53.4,14.9,15.8,14.2,142.3,0.57,1.5,15.1
2005,51.1,57.0,14.8,16.5,11.6,115.5,0.47,1.3,12.9
2006,57.7,67.3,9.2,10.7,14.2,142.0,0.57,1.7,16.6
2007,57.2,67.7,12.6,14.9,10.5,105.1,0.42,1.2,12.4
2008,64.6,66.9,18.0,18.6,12.1,121.1,0.40,1.3,12.5
2009,67.6,73.9,18.1,19.8,12.1,121.0,0.39,1.3,13.2
2010,69.7,81.1,17.7,20.6,12.5,125.5,0.39,1.5,14.6
2011,66.1,84.4,16.3,20.9,15.0,150.3,0.50,1.9,19.2
